Fiscal Year,Total,Children's Library,College Terrace,Downtown,Rinconada,Mitchell Park,E-Branch*,Terman Park,,,,,,,,,
2018,"1,538,118","228,504","72,752","75,080","218,556","840,582","102,644",N/A,,,,,,,,,
2017,"1,524,614","228,989","72,170","80,180","213,359","832,762","97,154",N/A,,,,,,,,,
2016,"1,400,926","204,102","65,689","70,636","166,820","723,568","170,111",N/A,,,,,,,,,
2015,"1,499,406","314,328","89,463","117,039","129,810","725,956","122,810",N/A,,,,,,,,,
2014,"1,364,872","339,279","95,585","143,642","118,350","585,410","82,606",N/A,,,,,,,,,
2013,"1,512,975","342,837","93,940","111,837","384,495","552,223","27,643",N/A,,,,,,,,,
2012,"1,559,932","349,446","83,452","85,822","470,993","550,572","19,647",N/A,,,,,,,,,
2011,"1,476,648","371,997","38,219",421,"545,722","507,531","12,758",N/A,,,,,,,,,
2010,"1,624,785","365,559","3,063","71,098","555,647","619,048","10,370",N/A,,,,,,,,,
2009,"1,633,955","321,950","99,974","76,104","505,757","622,334","7,836",N/A,,,,,,,,,
2008,"1,542,116","214,802","107,462","70,048","519,034","623,853","6,917",N/A,,,,,,,,,
2007,"1,414,509",0,"107,005","67,227","630,895","604,894","4,488",N/A,,,,,,,,,
2006,"1,280,547","124,615","89,146","49,962","488,656","525,105","3,063",N/A,,,,,,,,,
2005,"1,282,888","272,130","95,819","42,012","386,919","484,754","1,254",N/A,,,,,,,,,
2004,"1,314,790","302,703","93,667","43,558","392,822","481,841",0,199,,,,,,,,,
2003,"1,240,099","297,891","81,964","49,155","377,860","418,253",0,"14,976",,,,,,,,,
2002,"1,117,795","285,351","72,404","48,366","338,656","355,229",0,"17,789",,,,,,,,,
2001,"975,665","267,327","67,894","42,582","286,361","292,950",0,"18,551",,,,,,,,,
2000,"926,128","253,902","64,075","45,297","280,368","264,081",0,"18,405",,,,,,,,,
1999,"962,646","262,133","65,964","46,677","292,624","274,303",0,"20,945",,,,,,,,,
1998,"1,023,439","272,194","69,860","53,959","314,390","290,597",0,"22,439",,,,,,,,,
1997,"1,024,140","258,097","69,976","55,750","327,496","291,746",0,"21,075",,,,,,,,,
1996,"1,022,427","257,361","67,198","58,785","338,114","277,133",0,"23,836",,,,,,,,,
1995,"1,002,334","236,500","62,672","61,100","350,911","266,903",0,"24,248",,,,,,,,,
1994,"982,452","212,934","63,348","62,739","358,985","256,898",0,"27,548",,,,,,,,,
1993,"939,375","190,252","63,931","65,411","362,673","230,040",0,"27,068",,,,,,,,,
1992,"1,064,437","209,310","75,509","77,164","419,031","253,741",0,"29,682",,,,,,,,,
1991,"1,041,312","198,361","77,793","79,094","419,132","233,515",0,"33,417",,,,,,,,,
1990,"1,007,963","203,652","72,828","81,611","403,534","215,619",0,"30,719",,,,,,,,,
1989,"964,334","174,189","70,564","78,281","389,858","214,136",0,"37,306",,,,,,,,,
1988,"989,024","158,659","77,909","80,294","411,350","223,824",0,"36,988",,,,,,,,,
1987,"898,730","134,025","72,235","76,948","398,105","184,411",0,"33,006",,,,,,,,,
1986,"796,468","105,415","66,456","69,899","337,554","186,275",0,"30,869",,,,,,,,,
1985,"721,567","96,689","66,281","69,026","286,095","191,242",0,"12,234",,,,,,,,,
1984,"680,427","82,416","71,485","68,491","272,186","185,849",0,0,,,,,,,,,
1983,"684,467","75,583","74,155","77,434","260,210","197,085",0,0,,,,,,,,,
1982,"616,596","74,296","76,190","98,917","129,850","237,343",0,0,,,,,,,,,
1981,"646,413","76,908","72,467","73,249","248,467","175,322",0,0,,,,,,,,,
